1  독수리상이 어디에 있어?,  중앙도서관과 학생회관 사이에 위치하고 있습니다., 0
2  미래관이 어디에 있어?, 청송관과 중앙도서관과 미래관 사이에 위치하고 있습니다., 0
3  창조관이 어디에 있어?, 청송관과 중앙도서관과 미래관 사이에위치하고 있습니다., 0
4  청송관이 어디에 있어?, 정의관 바로 옆에 위치하고 있습니다., 0
5  중앙도서관이 어디에 있어?,  학생회관에서 독수리상 기준으로 가장 빨리 나오는 건물입니다., 0
6  백운관이 어디에 있어?, 창조관 뒤편으로 올라가는 길로 가면 있는 건물이고 학군단 옆에 있습니다., 0
7  스포츠센터가 어디에 있어?, 연세플라자 반대편과 운동장 옆에 위치하고 있습니다., 0
8  헬스장이 어디에 있어?, 스포츠센터 108호 입니다., 0
9  수영장이 어디에 있어?, 스포츠센터 101호 입니다., 0
10 스쿼시장이 어디에있어?, 스포츠센터 105-107호 입니다, 0
11 노천극장이 어디에 있어?, 미래관에서 나왔을때 왼쪽, 독수리상이 바라보는 방향으로 가게되면 나오는 신전같은 모습의 건물입니다., 0
12 학생회관이 어디에 있어?, 축구장을 지나서 삼거리가 나오는 곳의 오른쪽에 있는 건물입니다., 0
13 학생회관 식당이 어디에 있어?, 학관 1층에 위치하고 있습니다., 0
14 동아리방이 어디에 있어?, 학생회관 3~4층에 위치하고 있습니다, 0
15 연세플라자가 어디에 있어?, 학교를 들어오면 스포츠센터 맞은편에 있으며 매지학사와 세연학사 사이에 있는커다란 건물입니다., 0
16 이글플라자가 어디에 있어?, 매지학사와 세연학사 사이에 있는 건물 두 개 중 작은 건물입니다., 0
17 교회가 어디에 있어?, 대학본부와 붙어있는 건물이며 중앙길을 따라오면 테니스장 옆에 있는건물입니다., 0
18 정의관이 어디에 있어?, 학교입구에서 기준으로 헐떡고개를 따라서 오면 좌측에 바로 보이는 큰 건물입니다., 0
19 대학본부가 어디에 있어?, 교회 바로 옆에 있는 건물입니다., 0
20 컨버젼스홀이 어디에 있어?,  학관과 중앙도서관 바로 옆에 있는 지어지고 있는 건물입니다., 0
21 청연 학사가 어디에 있어?, 연세플라자 오르막길로 올라오셔서 왼쪽을 보시면 커다란 유리로 된 건물이 보입니다., 0
22 청연 1학사가 어디에 있어?, 연세플라자 오르막길로 올라오셔서 왼쪽을 보시면 커다란 유리로 된 건물이 보입니다., 0
